frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
85,0.45428213,0.36677694,0.7142597,0.50382423,0.5925386,0.8030252,0.4065175,0.7326163,0.66446525,0.45616886,0.89702165,0.6707924
86,0.45378107,0.3664609,0.71121013,0.5037314,0.5923964,0.8033062,0.4066198,0.73249763,0.6652532,0.456138,0.8974899,0.66867584
87,0.45803615,0.35373008,0.74207807,0.50006616,0.5810123,0.78244424,0.40915546,0.7308191,0.7437276,0.45621747,0.89724463,0.6930225
88,0.45807505,0.340466,0.78164375,0.4972086,0.56120604,0.7491874,0.41071412,0.7273314,0.78317285,0.45716274,0.8995961,0.63612497
89,0.45753333,0.3324952,0.7405335,0.49481803,0.5480347,0.7518645,0.41169667,0.72420686,0.79496306,0.45810676,0.89681554,0.67876
90,0.4609544,0.311056,0.7446445,0.49492452,0.5298283,0.8264407,0.41244078,0.71909755,0.71575177,0.45767266,0.892889,0.7180033
91,0.46730036,0.30362058,0.79982936,0.4919586,0.526322,0.8097559,0.4168206,0.71677566,0.743522,0.45871586,0.8887931,0.71500623
92,0.46717364,0.30356762,0.8011882,0.49176726,0.5263959,0.80918986,0.41689372,0.7167599,0.7406731,0.45866054,0.888545,0.71595997
93,0.46893448,0.28935808,0.7483456,0.49244758,0.51824224,0.7734254,0.41399106,0.7146077,0.72636694,0.45905167,0.89170426,0.69419706
94,0.46754667,0.28090808,0.8319662,0.49083668,0.512337,0.7084506,0.41927236,0.7145605,0.76223457,0.4601484,0.8910603,0.6930259
95,0.46929222,0.273988,0.7850435,0.48645097,0.510977,0.82043475,0.41864058,0.7102003,0.7205861,0.46049473,0.89242667,0.6631295
96,0.46913156,0.26292193,0.84307164,0.48545834,0.50552243,0.81418973,0.417691,0.70951986,0.7404305,0.4600161,0.8904137,0.66215235
97,0.4684158,0.25074312,0.7867593,0.48206532,0.50149435,0.7853788,0.418995,0.7090811,0.716113,0.459471,0.88967913,0.6252506
98,0.46852744,0.25079876,0.786984,0.48203072,0.50145775,0.7851883,0.41926616,0.709165,0.7113826,0.45941895,0.889892,0.6266101
99,0.4678957,0.24134642,0.671216,0.47867042,0.49248227,0.6575701,0.42060107,0.7038955,0.66104203,0.46104333,0.88324094,0.5499369
100,0.46936974,0.24275252,0.82840705,0.47648978,0.48800594,0.7165498,0.42575857,0.6950473,0.7147393,0.45976007,0.88014984,0.5568813
101,0.46854135,0.24253373,0.7888574,0.47176135,0.47719532,0.6888731,0.42912865,0.69529414,0.68706155,0.45830724,0.88172436,0.44851202
102,0.46544775,0.23741677,0.74162483,0.46808404,0.4728305,0.6322414,0.43403658,0.6975647,0.63738465,0.45882726,0.88294595,0.3100159
103,0.46452838,0.2259722,0.6021152,0.46348155,0.4597478,0.6311307,0.44398293,0.6985898,0.5070219,0.4593093,0.88352334,0.27927282
104,0.46440184,0.22637033,0.6070013,0.46347833,0.45974025,0.6287276,0.44404787,0.69847196,0.50659096,0.4594127,0.8832338,0.27977726
105,0.4678222,0.2283548,0.6766553,0.46066618,0.45706818,0.60269487,0.44479394,0.70183146,0.535576,0.46044296,0.8834352,0.26624367
106,0.47252318,0.22774845,0.65821105,0.45299315,0.4626108,0.49025798,0.44646144,0.7044568,0.37487984,0.4602275,0.8759076,0.17195487
107,0.47035527,0.22522675,0.6788983,0.455633,0.46852553,0.5180515,0.44828236,0.7172642,0.4947513,0.46360922,0.8782656,0.15152963
108,0.46406376,0.2259525,0.5498452,0.45253623,0.48196444,0.47589862,0.44587255,0.7099394,0.5510681,0.4617127,0.87188256,0.27457982
109,0.4664073,0.22579406,0.5326607,0.4616719,0.49220023,0.59398454,0.4525791,0.7114395,0.6060644,0.4614221,0.8781373,0.3414942
110,0.4662763,0.22592561,0.5335808,0.46133685,0.4920113,0.5947581,0.45247683,0.7112629,0.60769725,0.4611202,0.878068,0.34639296
111,0.4680031,0.22091542,0.63057375,0.4642344,0.48840612,0.5671866,0.45131248,0.72064495,0.44895276,0.46148488,0.8823204,0.26315397
112,0.47282606,0.22182338,0.6318827,0.46711072,0.48262405,0.50511765,0.45094943,0.716483,0.46539536,0.46328717,0.88698643,0.19511758
113,0.47024402,0.22125354,0.58069885,0.4653655,0.48754567,0.5129742,0.45046553,0.7178564,0.3956771,0.46364874,0.8920754,0.1508779
114,0.4684707,0.22002648,0.6324515,0.46190816,0.48172534,0.5322659,0.45017153,0.71429396,0.45945537,0.46400747,0.88977784,0.1788314
115,0.46487746,0.21854669,0.6549487,0.45862898,0.48046136,0.55586094,0.45000744,0.7107362,0.52460563,0.46380016,0.88750374,0.19767246
116,0.4647861,0.21739453,0.64856964,0.45872384,0.4795022,0.5580145,0.4500751,0.7106217,0.52585703,0.46232384,0.8872554,0.22272965
117,0.4665042,0.21879344,0.6981548,0.46013674,0.4817943,0.5442151,0.4504076,0.71037126,0.5484551,0.4626909,0.88543916,0.24006976
118,0.46814537,0.21968135,0.67817754,0.4637394,0.48384437,0.51898855,0.45019206,0.7115328,0.5201354,0.46295893,0.88717216,0.22493766
119,0.4693001,0.21800047,0.6881762,0.461912,0.48092353,0.5232749,0.45055485,0.7107632,0.5532752,0.4652794,0.8760578,0.18991458
120,0.47145855,0.21816002,0.69976735,0.46374214,0.47970313,0.49899435,0.45006806,0.70944977,0.54858315,0.46550894,0.8750441,0.19432488
121,0.4704451,0.21570686,0.65865797,0.46334642,0.47882277,0.5145418,0.45080066,0.7100791,0.57482594,0.46439594,0.87420696,0.21327701
122,0.47043324,0.2160943,0.6627737,0.46325466,0.47986722,0.51905423,0.45082754,0.7100038,0.5735123,0.46492916,0.87430537,0.21597613
123,0.47124,0.21998775,0.71055704,0.46531814,0.4792682,0.5346304,0.45043546,0.7054755,0.5782149,0.46571773,0.8725977,0.221478
124,0.4717006,0.22380364,0.6953361,0.46897548,0.49350843,0.5776028,0.45070165,0.71533036,0.5398914,0.46288848,0.8809688,0.28608558
125,0.470005,0.2230876,0.6837816,0.46733782,0.48935038,0.5678939,0.45049295,0.72031873,0.4153427,0.4637247,0.88698673,0.21837848
126,0.47298285,0.22350302,0.3834415,0.46829528,0.49260288,0.52155393,0.45040292,0.7236563,0.30089706,0.4510793,0.95464826,0.16672592
127,0.47602755,0.2325651,0.53442097,0.46720275,0.48793662,0.48638737,0.450163,0.71661913,0.42006335,0.46128517,0.91337365,0.122961186
128,0.47595525,0.2331639,0.54030424,0.46719727,0.48854262,0.48431012,0.45028025,0.7168902,0.41378874,0.4612323,0.9133893,0.1214346
129,0.46533453,0.23249823,0.6218669,0.45348892,0.47562143,0.4748962,0.44898805,0.70891213,0.58299875,0.461333,0.8839712,0.21005982
130,0.46402583,0.23307858,0.6441906,0.45604953,0.47169563,0.5699423,0.44025487,0.7036692,0.5778949,0.45627508,0.87863064,0.33300126
131,0.4646487,0.2450535,0.6560078,0.46480924,0.47474012,0.5625902,0.4384875,0.70750856,0.55464095,0.45573443,0.8806851,0.3984054
132,0.47054023,0.24336009,0.76536703,0.46421146,0.4727882,0.61566675,0.43371853,0.7057941,0.5667958,0.45831656,0.88162625,0.43183103
