frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
71,0.7848543,0.48278433,0.31515995,0.7838072,0.648859,0.44671243,0.8010231,0.74029267,0.27050748,0.86224955,0.85003555,0.39975938,0.76888365,0.48167306,0.257134,0.7550122,0.6464399,0.45225346,0.7613654,0.7315856,0.28606445,0.8319489,0.8272664,0.38379368
72,0.7528845,0.465168,0.38415268,0.77096266,0.62615144,0.47590944,0.7904929,0.7305647,0.44616595,0.85661256,0.85469747,0.42803583,0.7951874,0.4664037,0.42375192,0.7950618,0.6253772,0.4147276,0.80708516,0.72551596,0.36730412,0.85713196,0.8320834,0.44213408
73,0.7842699,0.46714923,0.30446133,0.80704254,0.62636685,0.4670451,0.8243278,0.74389887,0.4289247,0.8777801,0.85127425,0.26781598,0.765717,0.46950457,0.35381114,0.7722475,0.6252386,0.42812848,0.79501456,0.7403562,0.46677908,0.8321027,0.829487,0.4224464
74,0.7916106,0.46832007,0.3329284,0.8210343,0.6331916,0.4733478,0.82781,0.7437116,0.4118564,0.86845315,0.85446256,0.3198683,0.7716991,0.46940312,0.32542363,0.7817234,0.6319237,0.43164214,0.7949621,0.7380745,0.3766039,0.8313569,0.8322364,0.42696324
75,0.7859921,0.4686875,0.30928952,0.8099482,0.6372498,0.49021217,0.8237997,0.74748564,0.4623292,0.8751575,0.8609993,0.41569158,0.77030313,0.47027558,0.37019622,0.777414,0.63412744,0.45483986,0.79618526,0.7421617,0.418652,0.84068584,0.83643734,0.45866606
76,0.78829855,0.46782374,0.33331263,0.8153376,0.63502014,0.496455,0.8229079,0.747549,0.46102315,0.8725529,0.861516,0.37627542,0.767725,0.469554,0.37449607,0.7757804,0.6333274,0.45386827,0.7954826,0.74135345,0.41532484,0.8349337,0.8391501,0.44440135
77,0.81294507,0.46432012,0.37557623,0.82348174,0.6358115,0.5201628,0.82629365,0.7481402,0.43488225,0.87573564,0.86056846,0.46504286,0.7566676,0.4676878,0.34169975,0.7658162,0.6340201,0.49525398,0.7826835,0.7383813,0.3485031,0.83248925,0.8370148,0.3796696
78,0.7746378,0.4692664,0.37454933,0.79812044,0.6333362,0.49941897,0.81119174,0.7378306,0.28042486,0.8632823,0.857818,0.32534012,0.83090127,0.46924537,0.41270283,0.841115,0.63276124,0.3755678,0.8186256,0.7360822,0.44664755,0.8565602,0.8365284,0.39193997
79,0.7572284,0.47323412,0.45093226,0.780887,0.63827324,0.61804324,0.7769283,0.739515,0.40470406,0.8415954,0.8578602,0.3080682,0.84539264,0.4752035,0.4280711,0.8572239,0.63288677,0.4689537,0.84510684,0.7401953,0.58792657,0.88147473,0.84541774,0.42895362
80,0.76456064,0.47313353,0.41680983,0.78106683,0.643667,0.52830815,0.7449484,0.72741973,0.38060167,0.825156,0.8535237,0.33705938,0.85804987,0.4764864,0.3368575,0.85898745,0.64210165,0.41589946,0.84040356,0.7368464,0.5710051,0.8822335,0.8494548,0.44304708
81,0.76245683,0.48022717,0.4362651,0.7742975,0.63955534,0.43280497,0.7192594,0.7288591,0.4169354,0.8103809,0.84565747,0.27690145,0.84734553,0.48709863,0.40552363,0.8497201,0.63972354,0.3928455,0.8375505,0.74229926,0.53800154,0.88383424,0.84591717,0.4504289
82,0.7626263,0.47941673,0.42688462,0.7763444,0.63707674,0.5537623,0.71970344,0.72949207,0.44156745,0.82018775,0.8466139,0.338836,0.84697384,0.48547634,0.39434236,0.8486979,0.6342365,0.47930086,0.8369896,0.7420486,0.5163553,0.88382185,0.8468536,0.41558868
83,0.8111295,0.46540582,0.29623935,0.80291605,0.62793994,0.41380012,0.7053536,0.7153573,0.3823632,0.83917356,0.84705067,0.2507685,0.7878887,0.46281713,0.25967097,0.779978,0.6251729,0.3332694,0.7103932,0.71227926,0.31189597,0.82476354,0.8355173,0.27939245
84,0.8213037,0.48812196,0.3346369,0.82540846,0.6469513,0.3801142,0.6781096,0.71403134,0.4240884,0.87402356,0.85113966,0.34501204,0.80465645,0.48472738,0.3045054,0.8016721,0.64149237,0.35628247,0.67287177,0.710488,0.41786742,0.7739443,0.8277929,0.28979108
85,0.83485097,0.4864728,0.45868254,0.83994246,0.62080294,0.3829202,0.82438695,0.72684693,0.44630933,0.8863139,0.8567969,0.35634044,0.76313365,0.47658843,0.36295608,0.7701618,0.6161881,0.3970321,0.65517515,0.701322,0.6010507,0.71354026,0.8369688,0.5619488
86,0.8397149,0.48633155,0.46658728,0.83835787,0.63158953,0.4594883,0.8278967,0.7360033,0.45773038,0.89553547,0.85783494,0.33146158,0.78959054,0.476237,0.33738145,0.79735875,0.63059187,0.3460462,0.6479335,0.684379,0.44462383,0.65796363,0.8370943,0.38624415
87,0.8208411,0.4672688,0.43195465,0.8076588,0.6224325,0.36388612,0.64798546,0.68373626,0.36211628,0.5994346,0.8343402,0.48701137,0.8246195,0.4563913,0.42527094,0.827705,0.6218443,0.32130012,0.82512283,0.7369269,0.4032643,0.8877678,0.8530926,0.4126237
88,0.80149305,0.46216068,0.37359747,0.8011925,0.6172512,0.33274308,0.64665586,0.6832849,0.3614967,0.59750366,0.83302563,0.41530183,0.83221626,0.45786196,0.31965053,0.8491912,0.61686784,0.30911833,0.8270427,0.73535717,0.44052833,0.88813275,0.85400146,0.46436659
89,0.78115743,0.47123763,0.43262392,0.7801254,0.6226934,0.40579858,0.6582467,0.69700146,0.5344298,0.5478195,0.82916224,0.5543801,0.83341,0.46877825,0.4297504,0.8318226,0.62403214,0.40345946,0.82195413,0.73896825,0.45298707,0.8900007,0.852808,0.4406874
90,0.8267679,0.4719878,0.59336656,0.8109101,0.62686455,0.51908267,0.8163282,0.7391069,0.57875204,0.8915546,0.862205,0.3918691,0.75561273,0.46588203,0.39302287,0.7441096,0.6249978,0.48849764,0.6390531,0.70211434,0.55081856,0.50740784,0.82690877,0.66231334
91,0.8201813,0.46678013,0.44471246,0.8037734,0.6324689,0.6039898,0.8090589,0.7453946,0.56743944,0.8858478,0.8604523,0.3322606,0.75783336,0.44990087,0.37366933,0.7407906,0.6238892,0.47242334,0.61133194,0.70991224,0.4991997,0.47702265,0.8255934,0.488394
