frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
46,0.5194553,0.35245317,0.5303431,0.5951881,0.33080676,0.34173545,0.62415,0.30158213,0.55296427,0.51458,0.52401394,0.5582751,0.5317943,0.64389277,0.7088621,0.55389214,0.7681633,0.630392,0.45126814,0.36486274,0.67999375,0.3729204,0.36203766,0.44408485,0.3191263,0.32513887,0.3156153,0.46226713,0.52347285,0.60911494,0.4512974,0.64010024,0.69420755,0.43531448,0.7635766,0.6719591
47,0.4700374,0.35735568,0.4120879,0.38758403,0.39366496,0.18490747,0.35616684,0.36578786,0.23796028,0.4760736,0.5226617,0.5075983,0.47563976,0.64431214,0.32142362,0.4578699,0.7740506,0.5665679,0.513904,0.35494685,0.32248846,0.5562994,0.42756468,0.12069641,0.56355166,0.35476124,0.07899685,0.5085782,0.52566373,0.53187394,0.50526845,0.6391441,0.4030358,0.5281995,0.77532995,0.53412837
48,0.51609117,0.35140795,0.35139367,0.57304794,0.41207922,0.14084074,0.6176009,0.3758418,0.29902676,0.51402754,0.5210556,0.46251598,0.5087617,0.6444197,0.38835627,0.5191629,0.77347463,0.32308117,0.46269172,0.35739705,0.44101247,0.37710607,0.40474892,0.24940063,0.33980232,0.40737206,0.1902272,0.4795346,0.5191477,0.44790062,0.48545107,0.64489114,0.3392076,0.51192653,0.7737334,0.34451714
49,0.48380518,0.35345042,0.33672893,0.42708752,0.4316107,0.12433688,0.34661853,0.42632294,0.27170238,0.48733854,0.51284003,0.53815013,0.48542678,0.64397633,0.3045321,0.48740888,0.77737206,0.40671003,0.5022837,0.35471094,0.34219888,0.5960199,0.39358243,0.293537,0.61010766,0.40252846,0.27379778,0.49932104,0.5139779,0.46772733,0.4980442,0.6460991,0.3618946,0.5054593,0.78081244,0.3974738
50,0.45546174,0.36149383,0.4532154,0.39070123,0.42471558,0.2862461,0.35589975,0.4427368,0.19421338,0.4686826,0.51763123,0.56566465,0.47560734,0.6461947,0.30938163,0.48256785,0.7815709,0.4990344,0.5353771,0.36335945,0.4624347,0.5993079,0.4191562,0.28953904,0.6193423,0.44438672,0.20059559,0.5184402,0.5161533,0.53817034,0.50742656,0.645733,0.49565074,0.5118315,0.78056955,0.49373698
51,0.48621374,0.36354718,0.45855233,0.42537075,0.44997618,0.19181077,0.44338876,0.4884015,0.19943926,0.48863035,0.5194877,0.422247,0.4952746,0.6437068,0.35883602,0.50295734,0.7694561,0.45907187,0.509655,0.36481178,0.47390726,0.5715324,0.43359858,0.17053914,0.60739625,0.46407062,0.23065886,0.50476074,0.52039766,0.44410944,0.49777013,0.6461178,0.41948393,0.49111938,0.77296114,0.45668578
52,0.47531328,0.36612794,0.5116472,0.39959645,0.446282,0.29559994,0.34386706,0.45134908,0.2481862,0.48040837,0.52126265,0.45331445,0.49458966,0.64542234,0.34723032,0.5001391,0.77129334,0.47637838,0.526348,0.36650252,0.4885317,0.5919228,0.43341404,0.28989643,0.613151,0.46341273,0.31711304,0.5104945,0.5221612,0.46635696,0.5004904,0.6480669,0.47665113,0.49720412,0.77711886,0.42583954
53,0.46246263,0.3689979,0.5058149,0.41172,0.4507283,0.33496988,0.38719422,0.47493833,0.14825425,0.47069752,0.5240834,0.46414363,0.48687184,0.6438002,0.4433082,0.49162185,0.76777214,0.502694,0.53307873,0.37219793,0.46933523,0.5772579,0.44915268,0.3771438,0.59452134,0.47641504,0.25048116,0.51554734,0.523185,0.47584334,0.5037979,0.64443386,0.43418717,0.5002816,0.7705455,0.32538453
54,0.49507564,0.37816152,0.344876,0.49704155,0.47020647,0.2366706,0.5198873,0.52589774,0.20410822,0.4991778,0.529222,0.45177138,0.49643725,0.6499237,0.34942508,0.5009086,0.77169126,0.45452213,0.5021805,0.37998253,0.44175267,0.48735997,0.46583354,0.22732246,0.49203548,0.52453136,0.269754,0.49695107,0.52996874,0.42060354,0.49117202,0.6517915,0.48753366,0.4891542,0.77552533,0.4809595
55,0.46265978,0.38152736,0.6033057,0.43528694,0.46750414,0.37587073,0.45062423,0.52507603,0.1965278,0.47511268,0.5322788,0.47519326,0.48953605,0.64406204,0.4695606,0.49646467,0.7665541,0.45212677,0.5301077,0.38861248,0.5063667,0.56524885,0.46711716,0.4397616,0.57729894,0.5290201,0.2872197,0.5164254,0.5330292,0.56043905,0.49934977,0.6453807,0.44231638,0.49349257,0.771593,0.46310982
56,0.4585037,0.38891894,0.5987846,0.42379022,0.46926922,0.34336746,0.48946545,0.5186329,0.33764225,0.47511238,0.53532976,0.51937157,0.48762363,0.6443076,0.47528848,0.49272272,0.77086633,0.47208878,0.53182626,0.39285856,0.4303959,0.5610495,0.4746301,0.4018896,0.5516128,0.5265437,0.27175447,0.5216755,0.53342426,0.53414524,0.50076544,0.6462072,0.34780717,0.49248216,0.7757351,0.4744168
57,0.45767793,0.3970579,0.4967738,0.44852957,0.48065576,0.33529672,0.48398185,0.51933634,0.3675858,0.47629818,0.5462082,0.5095302,0.4837345,0.65148544,0.46658218,0.4930867,0.78129786,0.48383462,0.53346694,0.39984035,0.40224046,0.54294443,0.47123954,0.43143305,0.514658,0.5142139,0.33217892,0.51912004,0.544029,0.4475658,0.4986312,0.65290713,0.43445203,0.49229264,0.7829179,0.5251515
