frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
66,0.74653316,0.64630497,0.6089768,0.6337509,0.6713907,0.23222017,0.676389,0.78655285,0.72100985,0.5033625,0.66443425,0.56014323,0.3362345,0.7009918,0.6498183,0.17188719,0.6819648,0.7150513
67,0.74452436,0.64667934,0.41813394,0.63167995,0.6719403,0.20564526,0.6711371,0.7844355,0.63141745,0.5004035,0.66752934,0.46091944,0.3406393,0.70188653,0.62663066,0.17686462,0.68621016,0.62805766
68,0.7306552,0.63386333,0.47730336,0.63334024,0.6723988,0.18589947,0.6723994,0.78549254,0.6876456,0.502984,0.6662984,0.52332056,0.339526,0.6990131,0.69673604,0.17538232,0.67969316,0.67152536
69,0.73684114,0.6384584,0.4780985,0.61648405,0.66211313,0.31116143,0.6726643,0.7833094,0.64132726,0.5058625,0.6686491,0.46648574,0.34060428,0.69905347,0.6723734,0.17476808,0.6748938,0.65531063
70,0.73569834,0.64701426,0.5461482,0.6158843,0.66455853,0.32217404,0.66924906,0.7860362,0.62950766,0.5066446,0.6716208,0.48683274,0.34065056,0.69893944,0.48715198,0.17458123,0.6779189,0.6643598
71,0.73544014,0.65113634,0.4952844,0.6294549,0.7163464,0.1678994,0.6765932,0.7870122,0.6648878,0.50519145,0.6704578,0.44156227,0.34305605,0.70240223,0.5015776,0.17830527,0.68493295,0.6354716
72,0.73329633,0.64066803,0.5695176,0.62399465,0.65451837,0.3748545,0.6781428,0.78332746,0.48148948,0.5104489,0.6692197,0.570878,0.3405858,0.70179343,0.7125671,0.17368422,0.6807867,0.6758528
73,0.7330766,0.6445412,0.6610451,0.61886334,0.6517311,0.40488642,0.6748175,0.7860374,0.6839533,0.5116726,0.6703746,0.59125257,0.33806032,0.7024037,0.7113726,0.17113255,0.67961526,0.69089085
74,0.73376954,0.6438145,0.62824523,0.61913586,0.65004706,0.39208955,0.6740388,0.78471017,0.61248285,0.50635046,0.6700541,0.49621725,0.33576593,0.7002787,0.6413856,0.17366016,0.6726451,0.62699383
75,0.7437434,0.66180736,0.5053803,0.61983573,0.65008837,0.3469398,0.67670715,0.7881478,0.69408774,0.5031452,0.6717646,0.53963906,0.338046,0.7003336,0.6592952,0.17450947,0.6774146,0.6208795
76,0.73713017,0.65559894,0.53858787,0.6170076,0.65920115,0.35088494,0.6699316,0.78799295,0.6005282,0.5067286,0.67164373,0.5284359,0.33674893,0.70299315,0.677055,0.17072713,0.67636263,0.69726443
77,0.7343196,0.65379083,0.54095536,0.61632264,0.658079,0.3502626,0.6693518,0.7898644,0.611002,0.5055913,0.67104805,0.5639997,0.3349536,0.70100564,0.766353,0.16836673,0.6744897,0.69844645
78,0.73271847,0.65436995,0.55042523,0.6142797,0.66195476,0.31012148,0.6667019,0.78855366,0.6222866,0.5045754,0.6729598,0.5670101,0.33377928,0.7024207,0.65974414,0.16406402,0.67166567,0.6268077
79,0.73426986,0.6592556,0.5428663,0.6116984,0.6622614,0.2661073,0.6664517,0.78798866,0.62702316,0.5027942,0.6755487,0.5640506,0.33409008,0.70211697,0.64059556,0.16422513,0.6727457,0.6234085
80,0.73128057,0.6597839,0.55301505,0.6118598,0.6566201,0.2510398,0.66649187,0.78638405,0.68145007,0.49242577,0.67244244,0.567316,0.32987496,0.6982111,0.719839,0.16411778,0.67351794,0.6351122
81,0.7271253,0.6563103,0.530515,0.6003507,0.65335846,0.36273867,0.6652102,0.78721523,0.6358857,0.4936994,0.6724696,0.58107,0.32995325,0.6983739,0.7348884,0.16139504,0.6760248,0.6824486
82,0.73004764,0.65772593,0.54311454,0.6126625,0.65594363,0.30242848,0.66781944,0.7879281,0.606774,0.49797446,0.67145324,0.6060444,0.33013338,0.69932604,0.76268435,0.16239586,0.67553866,0.68771863
83,0.73275316,0.65814114,0.56642425,0.6096379,0.65598,0.32848227,0.6656457,0.7877559,0.62477696,0.49937886,0.67152715,0.63468814,0.32892194,0.69887036,0.7881683,0.1555166,0.6727728,0.67892087
84,0.7300219,0.65691864,0.51856184,0.61083657,0.6576121,0.35125783,0.6633605,0.78965396,0.5517996,0.49836433,0.67247385,0.61286306,0.32786638,0.69465065,0.7725184,0.15802348,0.6735399,0.61288494
85,0.73127335,0.6564113,0.5024543,0.60847217,0.65913355,0.38308656,0.66130286,0.7902476,0.6038276,0.49967754,0.671738,0.56945753,0.32883173,0.6885631,0.60736275,0.16051134,0.66353977,0.47878525
86,0.7340309,0.65990275,0.54106957,0.61197203,0.65678436,0.35265848,0.661114,0.7884978,0.61798775,0.49797207,0.66855997,0.56324565,0.32865468,0.6925105,0.68254316,0.15978605,0.67128915,0.5276329
87,0.73415273,0.662233,0.5841989,0.6104524,0.655171,0.33937514,0.66175485,0.7887875,0.6300838,0.493914,0.6691797,0.611886,0.32576892,0.6961373,0.76085293,0.15546314,0.6760479,0.60486215
88,0.73237747,0.65846884,0.5451828,0.5987117,0.65073854,0.45439965,0.66552365,0.7932376,0.65346736,0.49991915,0.6726007,0.6162593,0.33016038,0.700477,0.7753341,0.1552773,0.6805236,0.6942347
89,0.7329537,0.66188544,0.52249175,0.6653841,0.62544006,0.4680876,0.6636401,0.7913705,0.6040272,0.49531788,0.6711894,0.6076552,0.33123726,0.70174956,0.6167215,0.15033388,0.6852445,0.69742155
