frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
40,0.50916296,0.42389977,0.008742681,0.5206027,0.5986453,0.0029572942,0.60517704,0.520547,0.043799568,0.46715084,0.64370936,0.021372512,0.586214,0.4691759,0.01451616,0.53080994,0.51549214,0.011594876,0.5971519,0.52124345,0.05607745,0.4495365,0.7972851,0.005940715
41,0.5091465,0.42388397,0.008762948,0.52064186,0.59861463,0.0029579562,0.60515493,0.5205617,0.04378161,0.46716458,0.64368343,0.021244725,0.58672637,0.48146808,0.016795272,0.5307905,0.5155208,0.011585722,0.59715056,0.5212645,0.05606226,0.44948182,0.79729295,0.0059465272
42,0.50921637,0.42385387,0.008765356,0.5207577,0.5985737,0.0029693127,0.60515696,0.52054316,0.04399365,0.4671702,0.64363885,0.021225445,0.58628416,0.46917164,0.014470629,0.51338404,0.5142524,0.012039762,0.5971577,0.5212586,0.05631363,0.44940248,0.79730093,0.005954969
43,0.5071009,0.40756688,0.0074889725,0.5210073,0.59854054,0.0029718054,0.6052225,0.5204846,0.044079818,0.4671156,0.64351183,0.020926166,0.5864042,0.4691053,0.014445055,0.5135174,0.5142905,0.012040942,0.59718716,0.5212124,0.05635588,0.44931284,0.797385,0.0059288326
44,0.5073715,0.40746242,0.0074754995,0.52121526,0.59841776,0.0029926114,0.60520935,0.5204843,0.04477348,0.46673712,0.6697495,0.01760881,0.58651114,0.469071,0.014535122,0.53107065,0.51567996,0.011638302,0.5972183,0.52120703,0.057172816,0.44925058,0.7974538,0.0059010577
45,0.5073875,0.4074696,0.0074744727,0.52120185,0.5984172,0.0029949485,0.6052002,0.5204849,0.044808693,0.46673203,0.6697451,0.017609006,0.5865027,0.46907485,0.014542002,0.53106314,0.5156829,0.011636915,0.5972086,0.5212095,0.057222497,0.4492446,0.7974545,0.005903249
46,0.507614,0.4074075,0.007464437,0.52151173,0.5982529,0.0029806576,0.6051836,0.5203334,0.045615,0.46661073,0.66969526,0.017116977,0.6011188,0.4700568,0.013945098,0.5312272,0.5158019,0.011635319,0.5972738,0.5210839,0.058261253,0.44903436,0.79747003,0.005822761
47,0.50772715,0.40738064,0.0074557695,0.52196246,0.5981667,0.0029849596,0.6052864,0.52014184,0.04609006,0.4666251,0.66978717,0.016908968,0.60144305,0.47012258,0.014159308,0.5132013,0.5296049,0.010997575,0.59737253,0.5209082,0.058738243,0.44882846,0.7974321,0.0058024526
48,0.507889,0.40751183,0.007427079,0.5224854,0.5981276,0.0030000457,0.60541403,0.5199985,0.046617553,0.46667057,0.66976017,0.016610958,0.60182637,0.47010538,0.014375585,0.5130762,0.54437244,0.009985873,0.5974621,0.5207978,0.059132695,0.44865692,0.7974469,0.005722325
49,0.50797683,0.40770245,0.007406147,0.52274543,0.5981627,0.0029563424,0.60555595,0.52003855,0.046870876,0.46648082,0.6697137,0.016284326,0.60217285,0.46987072,0.0145691335,0.513209,0.5442851,0.010053684,0.5975235,0.52078444,0.059163213,0.44851145,0.79748493,0.0056735254
50,0.50823796,0.4078962,0.0074251667,0.5230654,0.5984754,0.0028998447,0.6056569,0.51989543,0.047491428,0.46615505,0.6698071,0.015786938,0.60201705,0.4697469,0.0147000225,0.51354694,0.544071,0.010268665,0.5974649,0.5204932,0.059733044,0.44825247,0.7976285,0.00570821
51,0.50823665,0.407899,0.0074275113,0.52306116,0.598474,0.0029010994,0.60565156,0.51990056,0.047510702,0.46615088,0.6698037,0.015786199,0.60200924,0.46975753,0.014700856,0.5135375,0.54407305,0.010275429,0.59746003,0.5205005,0.059752867,0.44824612,0.7976235,0.0057073315
52,0.5109436,0.42417067,0.008657337,0.5231818,0.59878474,0.002837828,0.6060262,0.51940787,0.048450705,0.46602818,0.6699624,0.015422677,0.60205656,0.4698282,0.014921819,0.53159386,0.5451931,0.00965077,0.5979866,0.5199233,0.06086072,0.44825095,0.79780346,0.005668444
53,0.51109385,0.4242963,0.008577923,0.49596527,0.49557456,0.009423697,0.60646904,0.5191503,0.049373202,0.46593294,0.6700667,0.0153221665,0.60263044,0.4698014,0.014960881,0.51351976,0.5438903,0.010119602,0.59870964,0.5195494,0.062213127,0.44849673,0.7980174,0.005583549
