frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
45,0.50683767,0.3651382,0.0020956406,0.5671928,0.5988102,0.0017275366,0.60804546,0.530859,0.02697899,0.43441647,0.7246857,0.011842224,0.58948386,0.4585355,0.007674255,0.7078527,0.5826445,0.017158896,0.60997397,0.51072085,0.03825049,0.41071042,0.8604628,0.004294728
46,0.5251074,0.36501,0.0023258484,0.56830543,0.5985093,0.0017897332,0.6080054,0.5311787,0.02768099,0.434028,0.72501516,0.011412539,0.589609,0.458759,0.007909162,0.7078053,0.58248895,0.017512254,0.6097096,0.51081806,0.039492983,0.41057357,0.860291,0.004278399
47,0.52497095,0.36531636,0.0023710353,0.56920546,0.5983313,0.0018186597,0.60806465,0.5316824,0.028376162,0.4335772,0.7253041,0.011211532,0.5900023,0.45877284,0.008065168,0.7079636,0.5821979,0.017560214,0.60990655,0.5105994,0.040209193,0.41029754,0.86016583,0.004267853
48,0.52480704,0.3657509,0.0024194426,0.56905186,0.5981497,0.0018159464,0.6079355,0.5427521,0.026899474,0.43286523,0.7255064,0.011083413,0.59020394,0.4584464,0.008284343,0.70789754,0.58200085,0.017716596,0.61067504,0.5103479,0.03974548,0.42747948,0.8573755,0.00494769
49,0.5249381,0.3661456,0.002502068,0.60014313,0.5429291,0.0048741205,0.60884315,0.5432951,0.027651418,0.43270776,0.7256684,0.0108363535,0.5900262,0.45774102,0.0082686525,0.7159129,0.5949307,0.019641057,0.6231296,0.5092255,0.039623603,0.42698392,0.8572807,0.0050516706
50,0.525082,0.36592636,0.0025141626,0.60051495,0.54270023,0.0047959248,0.6214584,0.543702,0.028398393,0.43291584,0.72594965,0.0106951,0.58928216,0.45748892,0.008137249,0.7162675,0.59480584,0.019499639,0.6102875,0.52095777,0.03583223,0.42670882,0.8572974,0.005201904
51,0.52505124,0.3659208,0.002506629,0.6004888,0.5426862,0.004790657,0.62147564,0.5437181,0.028345011,0.43292367,0.72592837,0.010698638,0.58925664,0.45746568,0.008138349,0.71625483,0.59483063,0.01948886,0.61030406,0.52096707,0.035794817,0.42668524,0.857307,0.005198788
52,0.5252696,0.3655074,0.0024959228,0.5818946,0.5422284,0.004994077,0.6354575,0.54409975,0.029943034,0.43389255,0.74365515,0.010202977,0.58941793,0.4576186,0.008292449,0.7166883,0.5954082,0.019436339,0.61081713,0.52018607,0.037301835,0.42672423,0.8573365,0.005224008
53,0.5254996,0.3655163,0.0026983442,0.587177,0.5993848,0.0019515976,0.6089406,0.53112435,0.03255596,0.43447995,0.74380016,0.010157776,0.58999896,0.45786527,0.008652857,0.70851725,0.58322555,0.017308787,0.62283415,0.50876456,0.0438892,0.4410722,0.85587734,0.0055988836
54,0.5256762,0.3655859,0.002881654,0.5872914,0.59915334,0.0020809863,0.60819256,0.53120774,0.03325887,0.43434513,0.74344647,0.009999489,0.5900556,0.44323778,0.007835749,0.70889086,0.58339214,0.016637065,0.61033535,0.5094676,0.04254809,0.44152147,0.8570457,0.005563381
55,0.5257139,0.36534828,0.0029558574,0.5867332,0.59885716,0.0020806766,0.6072681,0.5313257,0.032416105,0.43378985,0.7431096,0.010166765,0.59066904,0.44314662,0.007986695,0.7086297,0.584162,0.016598735,0.6097585,0.5087423,0.042581737,0.42864317,0.8601859,0.004913032
56,0.52543676,0.3657806,0.0029958824,0.5572371,0.498746,0.007707739,0.6071588,0.53119737,0.031683348,0.43366498,0.742823,0.010304692,0.5904368,0.44287208,0.008114305,0.7079668,0.5853639,0.016408127,0.609484,0.5081685,0.04198702,0.42880273,0.8605174,0.004577332
57,0.52543837,0.36576667,0.002999086,0.5572411,0.4987319,0.0077104815,0.6071635,0.5312004,0.031683717,0.43365598,0.7428249,0.010308831,0.5904426,0.44285995,0.0081152115,0.70796925,0.58536124,0.016398648,0.6094899,0.5081669,0.04199381,0.42878282,0.86050826,0.0045782626
58,0.5250954,0.3661469,0.0030706367,0.5661375,0.598581,0.001973238,0.6069156,0.53150284,0.031168487,0.43228826,0.72565854,0.011573376,0.5901588,0.44380295,0.008283917,0.70795435,0.58663267,0.016100872,0.60936064,0.508237,0.04159067,0.42802575,0.8601318,0.0045064734
59,0.5252636,0.36641446,0.0030568184,0.56626797,0.5992052,0.0019602487,0.606698,0.5317545,0.03115255,0.43263423,0.7256466,0.01241948,0.58970237,0.4450615,0.008033526,0.7084011,0.5876061,0.015385786,0.6091869,0.50840825,0.04115528,0.42639434,0.8595806,0.004622187
60,0.5259941,0.38269228,0.00395001,0.56585705,0.5992399,0.0018835329,0.60653543,0.5318444,0.031226626,0.43290144,0.7254613,0.013099916,0.58885294,0.46039617,0.0091805495,0.708772,0.58780223,0.015340875,0.609185,0.5088711,0.0406718,0.4262785,0.8585851,0.0047841365
61,0.5243715,0.36613286,0.003038962,0.5653691,0.5982102,0.0018440859,0.60573816,0.5319532,0.032150205,0.43320358,0.72578955,0.013037284,0.5879256,0.4606795,0.00920735,0.7088546,0.58747315,0.015622899,0.6085874,0.5095492,0.041023366,0.4269654,0.83766335,0.005572292
62,0.52469176,0.36559567,0.0029515033,0.5655813,0.5981647,0.0018750437,0.6056838,0.5320246,0.032552138,0.43351012,0.72621006,0.013581562,0.5877787,0.4607251,0.008964159,0.7089061,0.5873732,0.015613324,0.59651685,0.52125525,0.037652668,0.42831662,0.8371403,0.006024242
