frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
42,0.5104365,0.38356227,0.0028638386,0.42169246,0.55995697,0.002648169,0.35620338,0.57077235,0.0029576216,0.57239926,0.60023725,0.00133993,0.62168235,0.5296437,0.021269051,0.43773675,0.7084786,0.012379959,0.5986037,0.35987502,0.0015742105,0.5552168,0.5607265,0.0053042145,0.4734874,0.61021596,0.0036538232,0.71449727,0.6167089,0.011801733,0.6004243,0.5081577,0.03013144,0.42105988,0.70789677,0.012593027
43,0.51049197,0.38368052,0.002826825,0.4219653,0.55993617,0.0026621746,0.35642675,0.57073015,0.0029669716,0.536833,0.49597785,0.0058264364,0.6217278,0.5297798,0.021732923,0.43842387,0.7085461,0.012282637,0.59950984,0.36036935,0.0016172087,0.5554677,0.56111306,0.0055005103,0.4740344,0.6102817,0.0036885573,0.7142377,0.6170077,0.011601228,0.6004671,0.5083808,0.030623028,0.42458028,0.7258691,0.010856894
44,0.5107957,0.38352305,0.002744539,0.4219931,0.55992967,0.0026463899,0.35663542,0.5545184,0.0027045594,0.5365977,0.49590158,0.005817734,0.60975176,0.5198576,0.02287433,0.43859014,0.7087597,0.012063612,0.6001165,0.3605519,0.0016446107,0.5554925,0.56111526,0.0054454487,0.47423193,0.610358,0.0036890777,0.7141164,0.6172852,0.011525374,0.6005238,0.5083927,0.03102926,0.42462093,0.72591764,0.0107527645
45,0.51078945,0.38351786,0.0027432716,0.4219983,0.55992484,0.0026468292,0.3566337,0.5545166,0.0027033943,0.5365955,0.49590334,0.005818746,0.6097554,0.51987743,0.022863753,0.4385809,0.70875335,0.012064978,0.60008717,0.36051917,0.0016411343,0.55548984,0.56110805,0.005451792,0.47421715,0.61036175,0.0036927757,0.7141098,0.6172434,0.011538158,0.6005245,0.50842,0.031026732,0.4246105,0.7259096,0.01075799
46,0.5108708,0.38319948,0.0025338423,0.40380195,0.56003183,0.0024245372,0.35650393,0.55442363,0.0026855797,0.53653646,0.49578676,0.005665195,0.6099629,0.5200506,0.022866728,0.4388844,0.70872855,0.011681456,0.6002951,0.36056858,0.0015945103,0.55567676,0.561786,0.0054163625,0.47447616,0.61002964,0.003623827,0.71424985,0.6173425,0.011410456,0.60064614,0.50877166,0.030764295,0.4208301,0.7080012,0.011907396
47,0.512917,0.4011868,0.0029871932,0.4036001,0.55999416,0.002323399,0.35643202,0.5546771,0.0026662739,0.40394896,0.48971358,0.0075233104,0.61029756,0.52001846,0.022497453,0.48631796,0.8175926,0.0026909695,0.58794856,0.46981373,0.006876111,0.55588454,0.56204796,0.0051556085,0.4744342,0.6096257,0.0035357585,0.7146254,0.6178094,0.011110461,0.6009154,0.5088667,0.030069262,0.42424402,0.72573286,0.010167772
48,0.51293343,0.40120226,0.0028949636,0.40307432,0.5600152,0.002202018,0.35613996,0.55500436,0.0026865108,0.40368274,0.5040797,0.0069967844,0.61053675,0.51990443,0.021780044,0.48632312,0.8173401,0.0027095515,0.58947086,0.45646203,0.005903833,0.55578756,0.56221193,0.0048509077,0.4746163,0.60936654,0.0034666175,0.71472865,0.61836857,0.01093791,0.6013218,0.5087902,0.028841129,0.42408156,0.72536266,0.010086788
49,0.5125926,0.40148273,0.0030144195,0.40249002,0.559954,0.002104282,0.35587367,0.55485857,0.0026873962,0.40414345,0.48919526,0.0074421572,0.6105867,0.5193216,0.021599289,0.48667985,0.8174521,0.0027168263,0.5894269,0.4562645,0.0060475827,0.55555785,0.56168664,0.004452508,0.47438496,0.60917944,0.0032615564,0.7149892,0.618625,0.010795658,0.601566,0.50819755,0.028819567,0.4234764,0.725385,0.009874265
50,0.5130271,0.401715,0.0030892189,0.40287742,0.5600318,0.0022077677,0.35662398,0.5546949,0.0026545504,0.40466982,0.4895189,0.0073385835,0.61053747,0.51868975,0.022204332,0.4854763,0.81711966,0.002583224,0.5898295,0.45619074,0.005878586,0.5552976,0.5619721,0.0044780117,0.47497427,0.6081624,0.003318905,0.71256167,0.63490355,0.010676277,0.6028579,0.49842107,0.02965426,0.42334569,0.72516966,0.009876208
51,0.51300544,0.40171617,0.0030913858,0.40287375,0.56003475,0.0022057835,0.3566017,0.5546871,0.0026567793,0.40467608,0.4895089,0.007334486,0.61052716,0.5186895,0.022222143,0.4854908,0.8171236,0.0025805398,0.5898377,0.4561997,0.005876552,0.5553148,0.56197417,0.0044782287,0.474971,0.60817593,0.003317423,0.7125614,0.6348964,0.010684879,0.6028601,0.49842182,0.029692464,0.42335746,0.72517914,0.009869138
52,0.51338696,0.40171298,0.0031604744,0.4036079,0.5599838,0.0024344458,0.34614062,0.55434144,0.0030286456,0.40456736,0.5047425,0.0069678063,0.6221381,0.5184793,0.023063278,0.47648293,0.76279444,0.006551956,0.59006315,0.4561741,0.005908598,0.554955,0.562034,0.004532429,0.4749639,0.60744363,0.0034767087,0.7118944,0.6358572,0.010598688,0.6029189,0.49796373,0.02950001,0.3976287,0.8047298,0.003247667
53,0.51334685,0.40157405,0.0031756018,0.40341017,0.560211,0.0024519162,0.34640175,0.5544838,0.0031004925,0.4043068,0.50466305,0.0071233334,0.62219286,0.5185619,0.023963725,0.4765584,0.7626333,0.0064638047,0.5897635,0.45560446,0.0059763915,0.5554108,0.56176215,0.004610985,0.47416344,0.6077601,0.003431079,0.71201277,0.63522995,0.010539599,0.6018881,0.5073009,0.02883838,0.4227931,0.7242708,0.010411907
54,0.5127553,0.4017705,0.0032489593,0.4035805,0.56026113,0.002498144,0.34678492,0.5544574,0.0031338541,0.4042703,0.50478226,0.007230946,0.6222122,0.5182754,0.024649208,0.4372659,0.7074361,0.011843915,0.5895978,0.45576775,0.0061698277,0.55546445,0.5617604,0.004829541,0.4737428,0.60802525,0.0034687775,0.7116337,0.6352097,0.010766473,0.6026595,0.49798062,0.031460628,0.42268667,0.7242009,0.010573073
55,0.510862,0.38423395,0.002581366,0.40407357,0.56036246,0.0026035733,0.3470372,0.5547305,0.0031585745,0.5359846,0.4959295,0.0058064153,0.62177366,0.51822114,0.026153455,0.43713278,0.7074865,0.012074108,0.5885826,0.46945795,0.0072784647,0.555427,0.561377,0.0048127044,0.47309828,0.6083562,0.003414326,0.71144044,0.6348685,0.010872513,0.60228944,0.4983713,0.033528548,0.42259148,0.7242958,0.0106531195
56,0.5128187,0.40248358,0.0033195456,0.40434974,0.5606626,0.0026792004,0.34733564,0.55507493,0.0031595025,0.53547597,0.49612787,0.0057772966,0.62195396,0.51805127,0.025638716,0.43716192,0.70758516,0.0122247385,0.58983606,0.45644686,0.0064515457,0.55513936,0.5618077,0.0050361236,0.47283372,0.60801184,0.003552021,0.7110078,0.63483685,0.011099673,0.60215384,0.498172,0.03331199,0.4226708,0.7244478,0.010625424
