frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
33,0.50980556,0.42523095,0.008866827,0.4279436,0.57229286,0.0065561878,0.37739697,0.5553008,0.0040437523,0.5251283,0.61334133,0.0022472632,0.6066612,0.5198739,0.04211857,0.46759686,0.6871937,0.015027759,0.6024521,0.46993518,0.014168948,0.57049763,0.57282805,0.00733567,0.4908852,0.61823916,0.0071314694,0.5123353,0.51418567,0.010870145,0.59888756,0.52031374,0.055980377,0.43931618,0.79817367,0.0047064736
34,0.50975513,0.42519373,0.008895557,0.42782402,0.5722475,0.0065174922,0.377324,0.55521667,0.004045039,0.52516496,0.61331254,0.002223136,0.60666424,0.5198778,0.041873712,0.46760786,0.6872561,0.014964255,0.6028803,0.48186582,0.016685408,0.5705386,0.57278377,0.0072175264,0.4909727,0.6182613,0.0070458977,0.49423218,0.51288044,0.011286137,0.5989301,0.5203018,0.055756126,0.43931213,0.7981874,0.0046969033
35,0.50976694,0.425131,0.008927594,0.42776293,0.57222563,0.0065166648,0.37731576,0.55514455,0.0040529966,0.52513045,0.6132663,0.0022157074,0.6066684,0.51991504,0.04181788,0.4675856,0.68725485,0.014947739,0.60291433,0.48184383,0.016612165,0.570568,0.57270896,0.0071314024,0.49090084,0.6182853,0.006984706,0.4941821,0.51284987,0.011278324,0.59897447,0.5203358,0.05568811,0.4393188,0.7982055,0.004689786
36,0.5098318,0.42503014,0.008933013,0.4277802,0.5722338,0.0065550725,0.37739986,0.5551494,0.0040574716,0.5249878,0.61319315,0.0022173896,0.60667497,0.51995015,0.041832905,0.4675406,0.6872477,0.014911386,0.6028717,0.48177108,0.016542677,0.57053554,0.57264847,0.007070621,0.49080437,0.6182576,0.006977615,0.51224875,0.51400584,0.010848494,0.5989689,0.5203698,0.05561658,0.43928432,0.7982469,0.0046748593
37,0.50987285,0.4248838,0.008908263,0.42770386,0.5722281,0.006544877,0.377532,0.55517757,0.004042099,0.52487105,0.6131296,0.0022196576,0.6066633,0.519985,0.041800354,0.46752557,0.6872277,0.014979592,0.60244393,0.46965396,0.013892557,0.5705928,0.5726228,0.0070344643,0.4906901,0.61831963,0.0069415034,0.5121489,0.5139463,0.010890147,0.59898025,0.52043563,0.05554686,0.43936923,0.79824686,0.00467768
38,0.50999343,0.42486697,0.008835341,0.42772543,0.57222,0.0065623275,0.3775813,0.5551471,0.0040509407,0.5248032,0.61307055,0.0022292496,0.60656804,0.52003825,0.041949138,0.46752122,0.6871908,0.015017604,0.6027861,0.48178807,0.016531827,0.5705762,0.5725908,0.007048574,0.49067402,0.61835146,0.006958943,0.56906676,0.6167288,0.0025668545,0.5988868,0.52051646,0.05571833,0.43942234,0.7982752,0.004670876
39,0.5099913,0.42485216,0.008851386,0.42770004,0.5722231,0.0065549575,0.3775811,0.55513793,0.004047555,0.5248074,0.6130705,0.0022273199,0.60658437,0.5200273,0.04188758,0.4675264,0.68720746,0.015022119,0.6027961,0.4817708,0.01653773,0.5705915,0.5726042,0.0070302123,0.4906681,0.61835426,0.006940406,0.5690684,0.6167356,0.0025653278,0.5989071,0.52050567,0.055638228,0.43944436,0.7982662,0.0046765213
40,0.5100291,0.42481127,0.008765434,0.42768782,0.57214135,0.0065217945,0.37752664,0.5550724,0.0040511894,0.52481204,0.612995,0.0022353418,0.60647196,0.52009404,0.04213188,0.46758434,0.6871697,0.015039444,0.60273117,0.48178646,0.016527114,0.5705933,0.57249874,0.007034358,0.4906915,0.61840105,0.006931426,0.5690464,0.6166512,0.0025778778,0.59879565,0.5206018,0.05593778,0.439515,0.7982837,0.004666692
41,0.5100697,0.42492676,0.008648187,0.42776692,0.57202935,0.006574051,0.3776158,0.5550273,0.004061821,0.52468723,0.61296916,0.002261867,0.6063912,0.5201318,0.04266785,0.46759066,0.6871008,0.015161172,0.6022965,0.4698995,0.014112272,0.5705821,0.5724715,0.0071284175,0.49059975,0.61845803,0.0069906414,0.5690083,0.6166891,0.0025979402,0.59874,0.52069485,0.056714445,0.43796152,0.77955437,0.005546668
42,0.51012814,0.42507598,0.008502225,0.4278569,0.5719286,0.0065912134,0.37756598,0.5550085,0.0040713013,0.5245769,0.6129858,0.0022747922,0.6063332,0.5201287,0.042682316,0.46757808,0.68704265,0.015260513,0.60226685,0.47000715,0.014124425,0.5705025,0.57238376,0.007160039,0.4905741,0.6185513,0.0070394026,0.56893456,0.61671066,0.0026050557,0.59866464,0.5207195,0.05678993,0.4380513,0.77950335,0.0055219615
43,0.51017684,0.42513275,0.008342257,0.42781076,0.5718821,0.0065729246,0.37752357,0.5549367,0.0040706308,0.52452725,0.61292607,0.002255011,0.6063935,0.5201718,0.04243016,0.46763927,0.6871159,0.015321857,0.6022979,0.47004294,0.01403211,0.57055604,0.57236123,0.007098522,0.49058187,0.61862797,0.006986598,0.5689062,0.6166761,0.0025800907,0.59872115,0.52079606,0.05647984,0.43816558,0.7794196,0.005478544
44,0.51021975,0.42505652,0.008187209,0.42773542,0.57184565,0.006537988,0.37756002,0.5548737,0.004047456,0.52449024,0.6128296,0.0022465298,0.6064081,0.5202221,0.042433742,0.46767485,0.6871656,0.015336719,0.6023896,0.47003227,0.014016444,0.5705549,0.5723737,0.0070491075,0.4905532,0.6187337,0.0069076084,0.56885695,0.6166024,0.002581969,0.59875685,0.5208542,0.056440823,0.43830928,0.7794347,0.0054659895
45,0.510224,0.42504174,0.00819774,0.4277208,0.5718535,0.006532775,0.3775596,0.55486834,0.0040460997,0.5244957,0.61282915,0.0022452562,0.6064177,0.5202104,0.04239768,0.46767208,0.6871761,0.015339082,0.6023957,0.47001597,0.014025271,0.5705675,0.57238275,0.0070328754,0.49054685,0.61873287,0.0068969075,0.5688595,0.61660224,0.0025807584,0.5987721,0.52084184,0.056397088,0.43832707,0.77943194,0.005471124
46,0.5101717,0.4248838,0.008047788,0.42767954,0.5717978,0.006504282,0.37762544,0.55486566,0.0040488155,0.52445114,0.6127901,0.0022351616,0.6064738,0.52019376,0.042110357,0.46779364,0.68721676,0.015356565,0.60279334,0.48214695,0.016676372,0.57060736,0.5724539,0.0070171696,0.49068314,0.61869305,0.006878231,0.5688386,0.616607,0.0025712855,0.59885806,0.52084285,0.05608184,0.44003224,0.79824674,0.004558516
47,0.51009846,0.42493945,0.007993717,0.42770198,0.57185096,0.006578285,0.37784514,0.5550827,0.004082116,0.5241685,0.61287254,0.00225389,0.60651565,0.5200975,0.04160071,0.46779683,0.68722963,0.015441731,0.6026121,0.48228803,0.01674321,0.570217,0.5847882,0.0051371716,0.49054992,0.6185958,0.006957434,0.5687442,0.61687416,0.002566016,0.5989083,0.52081364,0.05555034,0.4401216,0.79814863,0.00454645
